State,Number,Member,Party,2025 Cook PVI,
Alabama,1,Barry Moore,R,R+27,
Alabama,2,Shomari Figures,D,D+5,
Alabama,3,Mike Rogers,R,R+23,
Alabama,4,Robert Aderholt,R,R+33,
Alabama,5,Dale Strong,R,R+15,
Alabama,6,Gary Palmer,R,R+20,
Alabama,7,Terri Sewell,D,D+13,
Alaska,AL,Nick Begich,R,R+6,
Arizona,1,David Schweikert,R,R+1,
Arizona,2,Eli Crane,R,R+7,
Arizona,3,Yassamin Ansari,D,D+22,
Arizona,4,Greg Stanton,D,D+4,
Arizona,5,Andy Biggs,R,R+10,
Arizona,6,Juan Ciscomani,R,EVEN,
Arizona,7,Raúl Grijalva,D,D+13,
Arizona,8,Abe Hamadeh,R,R+8,
Arizona,9,Paul Gosar,R,R+15,
Arkansas,1,Rick Crawford,R,R+23,
Arkansas,2,French Hill,R,R+8,
Arkansas,3,Steve Womack,R,R+13,
Arkansas,4,Bruce Westerman,R,R+20,
California,1,Doug LaMalfa,R,R+12,
California,2,Jared Huffman,D,D+24,
California,3,Kevin Kiley,R,R+2,
California,4,Mike Thompson,D,D+17,
California,5,Tom McClintock,R,R+8,
California,6,Ami Bera,D,D+8,
California,7,Doris Matsui,D,D+16,
California,8,John Garamendi,D,D+24,
California,9,Josh Harder,D,D+1,
California,10,Mark DeSaulnier,D,D+18,
California,11,Nancy Pelosi,D,D+36,
California,12,Lateefah Simon,D,D+39,
California,13,Adam Gray,D,R+1,
California,14,Eric Swalwell,D,D+20,
California,15,Kevin Mullin,D,D+26,
California,16,Sam Liccardo,D,D+26,
California,17,Ro Khanna,D,D+21,
California,18,Zoe Lofgren,D,D+17,
California,19,Jimmy Panetta,D,D+18,
California,20,Vince Fong,R,R+15,
California,21,Jim Costa,D,D+4,
California,22,David Valadao,R,R+1,
California,23,Jay Obernolte,R,R+8,
California,24,Salud Carbajal,D,D+13,
California,25,Raul Ruiz,D,D+3,
California,26,Julia Brownley,D,D+8,
California,27,George Whitesides,D,D+3,
California,28,Judy Chu,D,D+15,
California,29,Luz Rivas,D,D+20,
California,30,Laura Friedman,D,D+22,
California,31,Gil Cisneros,D,D+10,
California,32,Brad Sherman,D,D+17,
California,33,Pete Aguilar,D,D+7,
California,34,Jimmy Gomez,D,D+28,
California,35,Norma Torres,D,D+8,
California,36,Ted Lieu,D,D+21,
California,37,Sydney Kamlager-Dove,D,D+33,
California,38,Linda Sánchez,D,D+10,
California,39,Mark Takano,D,D+7,
California,40,Young Kim,R,R+1,
California,41,Ken Calvert,R,R+2,
California,42,Robert Garcia,D,D+18,
California,43,Maxine Waters,D,D+27,
California,44,Nanette Barragan,D,D+19,
California,45,Derek Tran,D,D+1,
California,46,Lou Correa,D,D+11,
California,47,Dave Min,D,D+3,
California,48,Darrell Issa,R,R+7,
California,49,Mike Levin,D,D+4,
California,50,Scott Peters,D,D+16,
California,51,Sara Jacobs,D,D+13,
California,52,Juan Vargas,D,D+13,
Colorado,1,Diana DeGette,D,D+29,
Colorado,2,Joe Neguse,D,D+20,
Colorado,3,Jeff Hurd,R,R+5,
Colorado,4,Lauren Boebert,R,R+9,
Colorado,5,Jeff Crank,R,R+5,
Colorado,6,Jason Crow,D,D+11,
Colorado,7,Brittany Pettersen,D,D+8,
Colorado,8,Gabe Evans,R,EVEN,
Connecticut,1,John B. Larson,D,D+12,
Connecticut,2,Joe Courtney,D,D+4,
Connecticut,3,Rosa DeLauro,D,D+8,
Connecticut,4,Jim Himes,D,D+13,
Connecticut,5,Jahana Hayes,D,D+3,
Delaware,AL,Sarah McBride,D,D+8,
Florida,1,Matt Gaetz,R,R+18,
Florida,2,Neal Dunn,R,R+8,
Florida,3,Kat Cammack,R,R+10,
Florida,4,Aaron Bean,R,R+5,
Florida,5,John Rutherford,R,R+10,
Florida,6,Michael Waltz,R,R+14,
Florida,7,Cory Mills,R,R+5,
Florida,8,Mike Haridopolos,R,R+11,
Florida,9,Darren Soto,D,D+4,
Florida,10,Maxwell Frost,D,D+13,
Florida,11,Daniel Webster,R,R+8,
Florida,12,Gus Bilirakis,R,R+17,
Florida,13,Anna Paulina Luna,R,R+5,
Florida,14,Kathy Castor,D,D+5,
Florida,15,Laurel Lee,R,R+5,
Florida,16,Vern Buchanan,R,R+7,
Florida,17,Greg Steube,R,R+11,
Florida,18,Scott Franklin,R,R+14,
Florida,19,Byron Donalds,R,R+14,
Florida,20,Sheila Cherfilus-McCormick,D,D+22,
Florida,21,Brian Mast,R,R+7,
Florida,22,Lois Frankel,D,D+4,
Florida,23,Jared Moskowitz,D,D+2,
Florida,24,Frederica Wilson,D,D+18,
Florida,25,Debbie Wasserman Schultz,D,D+5,
Florida,26,Mario Díaz-Balart,R,R+16,
Florida,27,Maria Elvira Salazar,R,R+6,
Florida,28,Carlos A. Giménez,R,R+10,
Georgia,1,Buddy Carter,R,R+8,
Georgia,2,Sanford Bishop,D,D+4,
Georgia,3,Brian Jack,R,R+15,
Georgia,4,Hank Johnson,D,D+27,
Georgia,5,Nikema Williams,D,D+36,
Georgia,6,Lucy McBath,D,D+25,
Georgia,7,Rich McCormick,R,R+11,
Georgia,8,Austin Scott,R,R+15,
Georgia,9,Andrew Clyde,R,R+17,
Georgia,10,Mike Collins,R,R+11,
Georgia,11,Barry Loudermilk,R,R+12,
Georgia,12,Rick Allen,R,R+7,
Georgia,13,David Scott,D,D+21,
Georgia,14,Marjorie Taylor Greene,R,R+19,
Hawaii,1,Ed Case,D,D+13,
Hawaii,2,Jill Tokuda,D,D+12,
Idaho,1,Russ Fulcher,R,R+22,
Idaho,2,Mike Simpson,R,R+13,
Illinois,1,Jonathan Jackson,D,D+18,
Illinois,2,Robin Kelly,D,D+18,
Illinois,3,Delia Ramirez,D,D+17,
Illinois,4,Chuy García,D,D+17,
Illinois,5,Mike Quigley,D,D+19,
Illinois,6,Sean Casten,D,D+3,
Illinois,7,Danny Davis,D,D+34,
Illinois,8,Raja Krishnamoorthi,D,D+5,
Illinois,9,Jan Schakowsky,D,D+19,
Illinois,10,Brad Schneider,D,D+12,
Illinois,11,Bill Foster,D,D+6,
Illinois,12,Mike Bost,R,R+22,
Illinois,13,Nikki Budzinski,D,D+5,
Illinois,14,Lauren Underwood,D,D+3,
Illinois,15,Mary Miller,R,R+20,
Illinois,16,Darin LaHood,R,R+11,
Illinois,17,Eric Sorensen,D,D+3,
Indiana,1,Frank J. Mrvan,D,D+1,
Indiana,2,Rudy Yakym,R,R+13,
Indiana,3,Marlin Stutzman,R,R+16,
Indiana,4,Jim Baird,R,R+15,
Indiana,5,Victoria Spartz,R,R+8,
Indiana,6,Jefferson Shreve,R,R+16,
Indiana,7,André Carson,D,D+21,
Indiana,8,Mark Messmer,R,R+18,
Indiana,9,Erin Houchin,R,R+15,
Iowa,1,Mariannette Miller-Meeks,R,R+4,
Iowa,2,Ashley Hinson,R,R+4,
Iowa,3,Zach Nunn,R,R+2,
Iowa,4,Randy Feenstra,R,R+15,
Kansas,1,Tracey Mann,R,R+16,
Kansas,2,Derek Schmidt,R,R+10,
Kansas,3,Sharice Davids,D,D+2,
Kansas,4,Ron Estes,R,R+12,
Kentucky,1,James Comer,R,R+23,
Kentucky,2,Brett Guthrie,R,R+20,
Kentucky,3,Morgan McGarvey,D,D+10,
Kentucky,4,Thomas Massie,R,R+18,
Kentucky,5,Hal Rogers,R,R+32,
Kentucky,6,Andy Barr,R,R+7,
Louisiana,1,Steve Scalise,R,R+19,
